Y N p
16 40 0.499833699781448
20 40 0.520412160549313
33 40 0.668306664330885
10 40 0.444084219168872
38 40 0.929478837642819
34 40 0.807856457540765
3 40 0.0795072801411152
23 40 0.599833358544856
38 40 0.89764113095589
30 40 0.86967690102756
10 40 0.250846623675898
22 40 0.567893695784733
37 40 0.947438378352672
12 40 0.283017143141478
33 40 0.794625673443079
35 40 0.823738380800933
33 40 0.835561693413183
17 40 0.52820709371008
12 40 0.15563869709149
35 40 0.834914848674089
24 40 0.581399850547314
37 40 0.926316660596058
8 40 0.240156094077975
9 40 0.21480926591903
25 40 0.76232795836404
29 40 0.767939049284905
0 40 0.0121607258915901
19 40 0.601070675067604
23 40 0.727952038869262
34 40 0.819402196444571
